StudyDescription	Modality	platform	frequency
XR CERVICAL SPINE 2-3 VIEWS WITH FLEXION EXTENSION NEURO	CR	MIDRC	1
CT ABDOMEN W/O & W/DYE	nan	TCIA	1
XR CERVICAL SPINE 6+ VIEWS	CR	MIDRC	1
3607 MR BREAST W/WO LEFT	MR	IDC	1
CT PELVIS W CONTRAST GIGU	CT	MIDRC	1
MR BREAST UNIL W OR WO SCCA	MR	IDC	1
XR CLAVICLE LEFT	DX	MIDRC	1
XR HUMERUS LEFT	CR	MIDRC	1
3607 6657 BREAST LEFT MR RESEARCH	MR	IDC	1
BR Screening DBT Mammogram RT	MG	ACRdart	1
CT ORBITS OPTIC NERVES WO CONTRAST	CT	MIDRC	1
3607 MR LT BREAST WO/W CONT (6657)	SEG	IDC	1
XR LEFT FINGERS	DX	MIDRC	1
3 SITES	CT	IDC	1
X-RAY NASAL BONES MINIMUM 3 VIEWS	DX	MIDRC	1
3607 MR RESEARCH 6657: LEFT BREAST WO/W	MR	IDC	1
3607 MR RIGHT BREAST W/WO CONTRAST	SEG	IDC	1
MR BREAST WO/W CONT#6657	MR	IDC	1
X-RAY KNEES BILATERAL AP STANDING	DX	MIDRC	1
CT ABDOMEN WWO CHEST PELVIS W (KIDNEYS)	CT	MIDRC	1
ACRIN 6701 MRT Prostata Follow-up	MR	ACRdart	1
CT ABDOMEN WWO CONTRAST	CT	MIDRC	1
MR BREAST WO/W CONT-6657	SEG	IDC	1
CT LUMBAR SPINE WITHOUT CONTRAST (S)	CT	MIDRC	1
3607 MRI RT BREAST WO/W CONT 6657	SEG	IDC	1
3607 RT BREAST WO/W CONT 6657	MR	IDC	1
3607- MR BREAST WO OR W BILAT 6657	SEG	IDC	1
3607-6657 LT BREAST	SEG	IDC	1
CT LUMBAR SPINE WITH CONTRAST	CT	MIDRC	1
BODY/LEFTBREAST	SEG	IDC	1
3608 MR #6657 BOLD BREAST WO/W CONT	SEG	IDC	1
CT LUMBAR SPINE NERVE BLOCK 1 LEVEL	CT	MIDRC	1
X-RAY HUMERUS MINIMUM 2 VIEWS - RIGHT	DX	MIDRC	1
X-RAY HUMERUS MINIMUM 2 VIEWS - LEFT	DX	MIDRC	1
XR ABDOMEN FEEDING TUBE 1 VIEW	DX	MIDRC	1
X-RAY RIBS BILATERAL 3 VIEWS	DX	MIDRC	1
X-RAY SACROILIAC JOINTS 3 OR MORE VIEWS	DX	MIDRC	1
3607 - 6657 MR RIGHT BREAST	SEG	IDC	1
CT ORBIT WITH CONTRAST	CT	MIDRC	1
MRI/MRA BRAIN WITHOUT AND WITH CONTRAST (INCLUDE VWI)	MR	MIDRC	1
BODY/RESEARCH STUDY	SEG	IDC	1
3607 MR BREAST WO/W CONT 6657	SEG	IDC	1
XR KNEES BILATERAL	DX	MIDRC	1
XR KNEES BILATERAL STANDING (3 VIEWS)	DX	MIDRC	1
3607 -#6657 ACRIN BOLD  RIGHT BREAST WO/W CONT	MR	IDC	1
MR BREAST WO OR W BILAT	MR	IDC	1
3607 - MR BREAST WO/W CONT ACRIN 6657	MR	IDC	1
3607 - 6657 RT BREAST WO/W CONT	SEG	IDC	1
X-RAY SPINE SINGLE VIEW SPECIFY LEVEL	DX	MIDRC	1
CT PELVIS WITHOUT CONTRAST (S)	CT	MIDRC	1
XR LEFT CALCANEUS 2 VIEWS	CR	MIDRC	1
3607 - 6657 LT BREAST/GAD	MR	IDC	1
BODY/LT BREAST STUDY	SEG	IDC	1
3607 MR BREAST WO/W CONT/BOLD	SEG	IDC	1
3607 - 6657 LT BREAST WO/W CONT	SEG	IDC	1
XR LEFT ELBOW 4+ VIEWS	DX	MIDRC	1
XR LEFT FEMUR 1 VIEW	CR	MIDRC	1
3607 MR BREAST/GAD-BOLD	SEG	IDC	1
BR Screening DBT Mammogram Bilat	MG	ACRdart	1
CT PELVIS WITHOUT CONTRAST	CT	MIDRC	1
MR Breast Left wo+w co	SEG	IDC	1
JHN CST/PEL W/	CT	MIDRC	1
CT HEAD WITHOUT CONTRAST	CT	MIDRC	1
XR RIGHT HIP 1 VIEW	DX	MIDRC	1
Abdomen^RENAL_MASS (Adult)	CT	MIDRC	1
Abdomen^ABDOMEN_PELVIS_W (Adult)	CT	MIDRC	1
Abdomen^ABDOMEN_PELVIS_WO (Adult)	CT	MIDRC	1
Abdomen^ABDOMEN_PELVIS_W_WO (Adult)	CT	MIDRC	1
CT CHEST W W/O CONTRAST	CT	MIDRC	1
Abdomen^MARKS_CAILLATT_PROTOCOL (Adult)	CT	MIDRC	1
CT CHEST W CONTRAST PULMONARY EMBOLISM	CT	MIDRC	1
CT CHEST W CONTRAST OP	CT	MIDRC	1
CT CHEST W CONT PULMONARY ARTERIES FOR PE	CT	MIDRC	1
CT CHEST W CON OP	CT	MIDRC	1
CT CHEST W AND WO IV CONTRAST	CT	MIDRC	1
CT CHEST W ABDOMEN PELVIS WWO	CT	MIDRC	1
MRI BREAST BILATERAL WO W IV CONTRAST	MR	MIDRC	1
breast^Breast Clinical Trial	MR	ACRdart	1
breast^DENSE BREAST RESEARCH	MR	ACRdart	1
CT CAP IP	CT	MIDRC	1
CT CHEST SCREENING FOR LUNG CANCER	CT	MIDRC	1
CT CHEST SCREENING	nan	TCIA	1
Abdomen^ABD_WITHXXL_GR (Adult)	CT	MIDRC	1
CT CHEST RADIATION ONCOLOGY	CT	AIMI	1
MRI - BREAST BILATERAL WITHOUT AND WITH IV CONTRAST	MR	ACRdart	1
Abdomen^ABD_WWO_renalmass_GR (Adult)	CT	MIDRC	1
CT CHEST PULMONARY EMBOLISM (CTPE) (S)	CT	MIDRC	1
Abdomen^AVERAGE_CTU_OVER_60 (Adult)	nan	TCIA	1
Abdomen^AVERAGE_PELVIS_WITHOUT_IV_CONTRAST (Adult)	nan	TCIA	1
MRI BREAST BILATERAL ABREV. NRMC	MR	ACRdart	1
CT CHEST OUTSIDE WITH INTERPRETATION OR CONSULT	CT	MIDRC	1
CT CAP W TRAUMA	CT	MIDRC	1
MRI BREAST BILATERAL ABREV.	MR	IDC	1
Abdomen^AB02A_AP_W (Adult)	CT	MIDRC	1
MRI BREAST UNILATERAL	nan	TCIA	1
CT CHEST W/O & W IV CON	CT	MIDRC	1
MR SHOULDER LEFT WO CONTRAST	MR	MIDRC	1
MR RT BREAST WO/W CONT/6657	SEG	IDC	1
Abdomen^13_TRAUMA_CAP (Adult)	CT	MIDRC	1
MRI Breast w Contrast bilat BIRADS	MR	ACRdart	1
MR Research wo w 15 minutes	MR	ACRdart	1
Abdomen^STONE_LOW_DOSE_1 (Adult)	CT	MIDRC	1
MR Research wo w 45 minutes	MR	ACRdart	1
MR Research wo w 60 minutes	MR	ACRdart	1
MR SACROILIAC JOINTS WITHOUT CONTRAST (S)	MR	MIDRC	1
Abdomen^STONE_FULL (Adult)	CT	MIDRC	1
MRI Breast Bil - with and without Contrast	MR	ACRdart	1
CT CHEST WITHOUT CONTRAST WITH OR WITHOUT 2D RECON	CT	MIDRC	1
CT Angio Abdomen and Pelvis	CT	MIDRC	1
CT Angio Chest W+/or WO + Recon	CT	MIDRC	1
MRI BRST ABBR	MR	ACRdart	1
MR WHOLE BODY PEDIATRIC WITHOUT CONTRAST	MR	MIDRC	1
MR SPINE CERVICAL WO CONTRAST	MR	MIDRC	1
CT CHEST WITH CONTRAST (O)	CT	MIDRC	1
MR SPINE THORACIC WO CONTRAST	MR	MIDRC	1
CT CHEST WITH CONTR	CT	MIDRC	1
CT CHEST WITH CONT	CT	MIDRC	1
MRI BREAST, UNILATERAL	MR	IDC	1
MR THORACIC SPINE WITH CONTRAST	MR	MIDRC	1
MR THORACIC SPINE WITHOUT CONTRAST	MR	MIDRC	1
Abdomen^ROUTINE_AP_WITH_OVER_50_OVER_250 (Adult)	CT	MIDRC	1
MRI BREAST WITH AND W/O CONTRAST-BILATERAL	MR	ACRdart	1
MRI BREAST W/WO CONT 6657	SEG	IDC	1
MR TOTAL SPINE WITH AND WITHOUT CONTRAST (S)	MR	MIDRC	1
CT BRAIN WITH AND WITHOUT CONTRAST (S)	CT	MIDRC	1
ct chest abdomen pelvi	CT	MIDRC	1
CT CAP W/ DYE	nan	TCIA	1
CT CHEST LUNG CANCER SCREENING LOW DOSE W/O CM	CT	MIDRC	1
CT CHEST ABDOMEN AND PELVIS WITHOUT IV CONTRAST	CT	MIDRC	1
CT CERVICAL SPINE NERVE BLOCK 1 LEVEL	CT	MIDRC	1
CT CERVICAL SPINE WITHOUT IV CONTRAST	CT	MIDRC	1
jhn ct chest wo op	CT	MIDRC	1
Abdomen^CT_AP_WITH_L_SPINE_MPRS (Adult)	CT	MIDRC	1
CT CHEST ABDOMEN PELVIS W WO CONTRAST (S)	CT	MIDRC	1
MRI ABDOMEN W/O&W/DYE	nan	TCIA	1
Abdomen^HEMATURIA_GREATERTHAN45 (Adult)	CT	MIDRC	1
Abdomen^CT_MARKS_CAILLAT_AP_RENAL (Adult)	CT	MIDRC	1
Abdomen^CT_UROGRAM_STONE (Adult)	CT	MIDRC	1
CT CHEST ABDOMEN PELVIS ANGIOGRAM WITH IV CONTRAST	CT	MIDRC	1
MRI BRAIN, MRA BRAIN, MRA NECK - WITHOUT CONTRAST FOCUSED STROKE	MR	MIDRC	1
MRI BRAIN, MRA BRAIN, MRA NECK - WITHOUT AND WITH CONTRAST (S)	MR	MIDRC	1
mammogram/ultrasiund exam	US	ACRdart	1
CT CHEST ABDOMEN AND PELVIS WITH IV CONTRAST	CT	MIDRC	1
CT CHEST ABDOMEN W CONTRAST (PANCREAS)	CT	MIDRC	1
Abdomen^DE_CTA_AAA (Adult)	CT	MIDRC	1
MRI BRACHIAL PLEXUS WO/W CONTRAST - LEFT SIDE	MR	MIDRC	1
CT CHEST ABD PELVIS W O CONTRAST	CT	MIDRC	1
Abdomen^DE_ROUTINE_AP_WITH_UNDER_50 (Adult)	CT	MIDRC	1
CT CHEST (PULMONARY EMBOLISM) PELVIS LOWER EXTREMITY BILATERAL (	CT	MIDRC	1
CT CHEST (HIGH RESOLUTION) WITHOUT CONTRAST	CT	MIDRC	1
CT CHEST (CPT=71250)	CT	MIDRC	1
Abdomen^DUAL_PHASE_ABDOMEN (Adult)	CT	MIDRC	1
/BD/PRO Pelvis w	nan	TCIA	1
MRI ANKLE W/O CONTRAST - RIGHT	MR	MIDRC	1
Abdomen^HEMATURIA_45_and_UNDER (Adult)	CT	MIDRC	1
CT CHEST  W/O 71250	CT	MIDRC	1
Abdomen^GH_AbdomenRoutine (Adult)	CT	MIDRC	1
Abdomen^CT_AP_GI_BLEED_ISCHEMIC_BOWEL_WWO (Adult)	CT	MIDRC	1
Abdomen^CT_ABDOMEN_WITH (Adult)	CT	MIDRC	1
CT CAP W/ WT lOSS OP	CT	MIDRC	1
e+1 CT T SPINE RECON	CT	MIDRC	1
CT CHEST IV IP	CT	MIDRC	1
CT CHEST HRCT NO IVCON	CT	MIDRC	1
CT CHEST HIGH RESOLUTION (S)	CT	MIDRC	1
e+1 CT ANGIO CHEST W	CT	MIDRC	1
e+1 CT CHEST ABDOMEN PELVIS WITHOUT CONTRAST	CT	MIDRC	1
e+1 CT CHEST ABDOMEN PELVIS WO	CT	MIDRC	1
e+1 CT CHEST W	CT	MIDRC	1
e+1 CT CHEST WITHOUT CONTRAST	CT	MIDRC	1
e+1 CT CHEST WO	CT	MIDRC	1
CT CAP W/DYE	nan	TCIA	1
CT CHEST HI-RESOLUTION W/O IV CONTRAST	CT	MIDRC	1
CT CHEST FOR NODULE	CT	MIDRC	1
e+1 CT SOFT TISSUE NECK W CONTRAST	CT	MIDRC	1
e+1 CTA ANGIO NECK	CT	MIDRC	1
e+2 PET LYMPHOMA HODGKINS	PT,CT	MIDRC	1
e+1 CTA CHEST (PE STUDY) W CONTRAST	CT	MIDRC	1
e+1 CTA CHEST WO/W	CT	MIDRC	1
e+1 CTA dissection	CT	MIDRC	1
MRI BREAST BILAT WO/W?	SEG	IDC	1
Abdomen^CTA_ABD_PEL_RUNOFF_UNDER_250LB_Customized (Adult)	CT	MIDRC	1
MRI BREAST BILAT WO/W CONTR	MR	IDC	1
e+1 Head	CT	MIDRC	1
CT CAP WITH CONTRAST	CT	MIDRC	1
CT CHEST ANGIOGRAM IMAGE IMPORT	CT	MIDRC	1
Abdomen^CTA_RUNOFF (Adult)	CT	MIDRC	1
e+1 ct chest abdomen pelvi	CT	MIDRC	1
e+1 ct chest abdomen pelvis with contrast	CT	MIDRC	1
CT CHEST ABDOMEN WO CO	CT	MIDRC	1
CT CHEST WWO CONT	CT	MIDRC	1
CT CHEST W_ ABDOMEN PELVIS WWO	CT	MIDRC	1
_t4of4_MR IAMs	nan	TCIA	1
MR FACE, NASO, NECK WITH AND WITHOUT CONTRAST (S)	MR	MIDRC	1
MR ELASTOGRAPHY OF THE ABDOMEN WITH AND WITHOUT CONTRAST	MR	MIDRC	1
MR ELASTOGRAPHY OF THE ABDOMEN WITHOUT CONTRAST	MR	MIDRC	1
XR SPINE LUMBAR (LATERAL ONLY FLEX/EX)	CR	MIDRC	1
XR SPINE LUMBAR (LATERAL ONLY)	CR	MIDRC	1
XR SPINE THORACIC (3 VIEWS - AP+LAT BENDING)	CR	MIDRC	1
XR SPINE THORACIC (3 VIEWS)	CR	MIDRC	1
CT EXAM SPLIT W/CON	nan	TCIA	1
XR SPINE THORACIC (AP+LAT, SUP/UPRIGHT)	DX	MIDRC	1
XR STERNUM 2+ VIEWS	DX	MIDRC	1
MR FACE, NASO, NECK WITH AND WITHOUT CONTRAST	MR	MIDRC	1
XR Spine Thoracic 2 Views	CR	MIDRC	1
XR THIGH/FEMUR LEFT 2V	DX	MIDRC	1
XR THIGH/FEMUR RIGHT 2V	DX	MIDRC	1
XR THORACIC SPINE 3 VIEWS	CR	MIDRC	1
CT FACE/SINUSES (BRAINLAB) W* CONTRAST	CT	MIDRC	1
CT ENTEROGRAPHY DONE AT WAKE FOREST BAPTIST IMAGING	CT	MIDRC	1
XR THORACOLUMBAR SPINE AP AND LATERAL	DX	MIDRC	1
XR THORACOLUMBAR SPINE STANDING 2 OR 3 VIEWS	DX	MIDRC	1
XR THUMB RIGHT	CR	MIDRC	1
XR TOES RIGHT (SPECIFY DIGITS)	DX	MIDRC	1
XR WRIST 3+ VIEWS	DX	MIDRC	1
XR WRIST LEFT (LIMITED: AP,LAT)	DX	MIDRC	1
MR FOOT (FOREFOOT) RIGHT WO CONTRAST	MR	MIDRC	1
MR GUIDED BREAST BIOPSY	MR	ACRdart	1
XR WRIST RIGHT (SCAPHOID VIEW)	DX	MIDRC	1
BILAT BREAST US	US	ACRdart	1
CT DIAGNOSTIC COLONOSCOPY	CT	MIDRC	1
CT ANGIO ABDOMINAL ARTERIES	nan	TCIA	1
CT ANG CHEST, ABD, PEL WWO	CT	MIDRC	1
XR SPINE CERVICAL (LATERAL ONLY - FLEX/EX)	DX	MIDRC	1
CT SOFT TISSUE NECK W/DYE	nan	TCIA	1
CT ABDOMEN/PELVIS WITH CONTRAST (O)	CT	MIDRC	1
XR RIGHT HIP 1 VIEW PORTABLE	CR	MIDRC	1
BIOPSY BREAST-PERC NEEDLE AUTOMATED	US	ACRdart	1
CT HEAD W/O CONT	nan	TCIA	1
BILATERAL KNEE 3 VIEWS-CS	CR	MIDRC	1
BILATERAL FOOT AP&LAT-CS	CR	MIDRC	1
Abdomen GU,Abdomen	CR	MIDRC	1
BILATERAL DIAGNOSTIC PLUS TOMO	MG	ACRdart	1
XR RIGHT KNEE 4+ VIEWS	DX	MIDRC	1
CT HEAD	CT	MIDRC	1
XR RIGHT RIBS 2 VIEWS UNILATERAL	DX	MIDRC	1
MR CERVICAL SPINE WITH AND WITHOUT CONTRAST (S)	MR	MIDRC	1
MR CERVICAL SPINE WITH CONTRAST	MR	MIDRC	1
XR RIGHT THUMB	CR	MIDRC	1
CT ABDOMEN/PELVIS WITHOUT CONTRAST (O)	CT	MIDRC	1
XR SPINE CERVICAL (AP+LAT+OBLS+SWIM+ODONTOID)	CR	MIDRC	1
CT GUIDED CHEST LUNG B	CT	MIDRC	1
XR SACROILIAC JOINTS 3+ VIEWS	DX	MIDRC	1
XR SCAPULA RIGHT	CR	MIDRC	1
XR SCOLIOSIS STUDY 2 OR 3 VIEWS (NEURO INTERPRETATION)	DX	MIDRC	1
XR SCOLIOSIS STUDY 4 OR 5 VIEWS	DX	MIDRC	1
XR SCOLIOSIS STUDY MINIMUM OF 6 VIEWS	DX	MIDRC	1
CT GUIDED BIOPSY LUNG MEDIASTINUM	CT	MIDRC	1
XR SHOULDER 2+ VIEWS	CR	MIDRC	1
XR SHOULDER LEFT (COMPLETE: IR/ER/GRASHEY/Y/AXILLARY)	CR	MIDRC	1
XR SHOULDER LT 2 OR MORE VIEWS	DX	MIDRC	1
XR SHOULDER RIGHT (COMPLETE: IR/ER/GRASHEY/Y/AXILLARY)	CR	MIDRC	1
MR CONGENITAL HEART DISORDER WITH AND WITHOUT CONTRAST	MR	MIDRC	1
XR SPINE CERVICAL (4 VIEWS - AP+LAT+FLEX/EX)*	DX	MIDRC	1
MRI PRE&POST INF BREASTMR	MR	IDC	1
XR_WholeBody	nan	TCIA	1
_t4of4_MR IAM's	MR	IDC	1
MRI GUIDED BREAST BIOPSY AUT VAC ROT RIGHT	MR	ACRdart	1
MRI LOWER EXTREMITY JOINT W/O CONTRAST - RIGHT	MR	MIDRC	1
MRI LOWER EXTREMITY JOINT W/O CONTRAST - LEFT	MR	MIDRC	1
MRI LIVER WO/W CONTRAST	MR	MIDRC	1
MRI LIVER W/O CONTRAST WITH ELASTOGRAPHY	MR	MIDRC	1
MRI LIVER METS WITH AND WITHOUT EOVIST	MR	MIDRC	1
MR ORBIT WITH AND WITHOUT CONTRAST	MR	MIDRC	1
CT CODE STROKE CTA	CT	MIDRC	1
MRI L SPINE	MR	MIDRC	1
CT CHST/ABD/PEL W/IV CONTRAST	CT	MIDRC	1
CT CHEST/ABDOMEN/PELVIS W/CONTRAST	CT	MIDRC	1
MRI JNT OF LWR EXTRE W/O DYE - LEFT	nan	TCIA	1
Adult Chest - 2 Views	DX	MIDRC	1
MRI HAND WITHOUT CONTRAST-RIGHT	MR	MIDRC	1
Acute Abd child	DX	MIDRC	1
CT ANGIOGRAPHY CHEST WITH CONTRAST PULMEMB	CT	MIDRC	1
MRI FOOT (FOREFOOT) WITHOUT CONTRAST -RIGHT	MR	MIDRC	1
MR PROSTATE W ENDORECTAL COIL	SEG	IDC	1
MRI ENTEROGRAPHY WO/W CONTRAST	MR	MIDRC	1
MRI ELASTOGRAPHY	MR	MIDRC	1
_t3of4_MR IAM's	MR	IDC	1
_t3of4_MR IAMs	nan	TCIA	1
CT CHEST-ABD-PELV W/O CM	CT	MIDRC	1
CT CHEST-ABD-PELV W/ CM	CT	MIDRC	1
Abdomen^10_STONE_STUDY (Adult)	CT	MIDRC	1
CT CHEST, ABDOMEN, PEL	CT	MIDRC	1
CT CHEST, ABDOMEN & PELVIS WO CONTRAST	CT	MIDRC	1
CT CHEST, ABDOMEN & PELVIS W/ 74177,71260,Q9967	CT	MIDRC	1
Abdomen^STONE_XXL (Adult)	CT	MIDRC	1
MRI LOWER EXTREMITY NON JOINT WO/W IV CONTRAST - LEFT	MR	MIDRC	1
_t1of9_MR IAMs	nan	TCIA	1
CT ANGIO CHEST PE	CT	MIDRC	1
_t1of4_MR IAMs	nan	TCIA	1
CT ANGIO CHEST WITH ECG GATING	CT	MIDRC	1
CT ANGIO CHEST/ABD/PELVIS	CT	MIDRC	1
CT ANGIO CHST/ABD/PEL W/WO CONTRAST	CT	MIDRC	1
CT ANGIO HEAD W OR WO CONTRAST	CT	MIDRC	1
_t1of2_MR IAM's	MR	IDC	1
_t1of2_MR IAMs	nan	TCIA	1
MRI PELVIS SOFT TISSUE W/O CONTRAST	MR	MIDRC	1
MRI OF THE ABDOMEN WITH AND WITHOUT CONTRAST	nan	TCIA	1
CT ANGIO NECK	CT	MIDRC	1
MRI OF LUMBAR SPINE WITHOUT CONTRAST	nan	TCIA	1
CT Chest WO	CT	MIDRC	1
CT ANGIOGRAM CHEST W CONTRAST	CT	MIDRC	1
_t1of4_MR IAM's	MR	IDC	1
MRI NECK SPINE W/O DYE	nan	TCIA	1
_t1of9_MR IAM's	MR	IDC	1
CT ANGIOGRAM CHEST W W	CT	MIDRC	1
_t1of5_MR IAM's	MR	IDC	1
_t1of5_MR IAMs	nan	TCIA	1
CT ANGIOGRAM CHEST [CH]	CT	MIDRC	1
CT Chest W	CT	MIDRC	1
MRI MSK CHEST WALL WO/W CONTRAST	MR	MIDRC	1
_t1of6_MR IAM's	MR	IDC	1
_t1of6_MR IAMs	nan	TCIA	1
CT ANGIOGRAM LOWER EXTREMITY RIGHT W WO CONTRAST	CT	MIDRC	1
MRI LUMBAR SPINE W/O DYE	nan	TCIA	1
MR LUMBAR SPINE WITH AND WITHOUT CONTRAST (S)	MR	MIDRC	1
MR LUMBAR SPINE WITH CONTRAST	MR	MIDRC	1
CT CT-Abdomen/Pelvis W/Contrast	CT	MIDRC	1
CT ANGIO AORTA RUNOFF	CT	MIDRC	1
NM TC-HIDA SCAN	NM	MIDRC	1
CT SPINE LUMBAR WOUT CON	CT	MIDRC	1
LT Foot	CR	MIDRC	1
Skull, Sinus & Facial,Nasal & Orbits	CR	MIDRC	1
CARDIAC MICS OP	CT	MIDRC	1
LEFT US BREAST LIMITED	US	ACRdart	1
CARDIAC IP	CT	MIDRC	1
LEFT WRIST-ROUTINE STUDY-CS	CR	MIDRC	1
Specials^BX_PROCEDURE (Adult)	CT	MIDRC	1
Specials^OVER_220_LBS_CHEST_LOW_DOSE (Adult)	nan	TCIA	1
Specials^Perfusion (Adult)	CT	MIDRC	1
Spine^CT_LUMBAR_SPINE_WO (Adult)	CT	MIDRC	1
Spine^C_Spine_Tin_Filter (Adult)	CT	MIDRC	1
LOW DOSE LUNG CA SCRN 71271-CS	CT	MIDRC	1
LOWER EXTREMITY^KNEE	MR	MIDRC	1
LT APEX	CT	IDC	1
Sup MSK	US	ACRdart	1
LT LUNG/MEDIASTINUM	RTSTRUCT	IDC	1
Siemens AP	nan	TCIA	1
GASTROGRAFIN SINGLE CONTRAST ENEMA	RF	MIDRC	1
T0 - US	US	ACRdart	1
GASTROGRAFIN CHALLENGE, ABDOMEN 1V, INITIAL	DX	MIDRC	1
T0 6 MO F/U	US	ACRdart	1
T0 ultrasound	US	ACRdart	1
T1 -  F/U 1	US	ACRdart	1
T1 - 1 YR F/U	US	ACRdart	1
T1 - F/U 1 ultrasound	US	ACRdart	1
T1 - F/U1- ULTRASOUND	US	ACRdart	1
T1 - F/U1-additional images	US	ACRdart	1
CHEST X-RAY	DX	MIDRC	1
T1 1 YR F/U	US	ACRdart	1
T1 ultrasound	US	ACRdart	1
Foot RT	DX	MIDRC	1
Siemens PVP	nan	TCIA	1
Shoulder L	CR	MIDRC	1
Femur / Joints L	CR	MIDRC	1
CHEST VENOGRAM IP	CT	MIDRC	1
CHEST PLAIN OP	CT	MIDRC	1
CHEST PORT LINE TUBE PLCT 1 EXAM	CR	MIDRC	1
CHEST PORTABLE SINGLE VIEW	CR	MIDRC	1
Knee - 3 Views	DX	MIDRC	1
Knee Lt.	CR	MIDRC	1
HUP5 PROTOCOLS^NECK	MR	IDC	1
CHEST PULMONARY WITH	CT	MIDRC	1
HIP RIGHT 1 VIEW	CR	MIDRC	1
HIP LEFT MIN 2 VIEWS ORTHO (LATERAL AND AP HIP)	CR	MIDRC	1
L MRI PRE&POST INF BREAMR	MR	IDC	1
CARDIAC TRIPLE OP	CT	MIDRC	1
CHEST SINGLE VIEW	DX	MIDRC	1
CHEST SINGLE VIEW ADULT PORTABLE	DX	MIDRC	1
L-SPINE(Adult)	CT	MIDRC	1
L-SPINE^L-SP optimized	MR	MIDRC	1
PETCT GENERIC (RESEARCH ONLY)	PT	MIDRC	1
CHEST W/ OP	CT	MIDRC	1
CHEST W/O IP	CT	MIDRC	1
L-SpineLAT WALL	DX	MIDRC	1
L/S SP W/OBL FLEX & EXTEN-CS	CR	MIDRC	1
HAND RIGHT 3 VIEWS MIN	DX	MIDRC	1
HAND 2 VIEWS LEFT	CR	MIDRC	1
CHEST WC	CT	MIDRC	1
CARDIAC PV OP	CT	MIDRC	1
GD CHEST ONE VIEW	DX	MIDRC	1
LCMC XR ABDOMEN 1 VW	CR	MIDRC	1
CARDIAC PUL VEIN OP	CT	MIDRC	1
Screening Breast Tomosynthesis Bil	MG	ACRdart	1
LEFT FOOT - ROUTINE STUDY(RAD)-CS	CR	MIDRC	1
LEFT HILUM	RTSTRUCT	IDC	1
Foot - 2 Views	DX	MIDRC	1
LTLUNG UP DIBH	CT	IDC	1
Digital Diagnostic Mammogram Bilateral	nan	TCIA	1
MRI Abdomen w/ + w/o Contrast	MR	MIDRC	1
Lumbar spine	CR	MIDRC	1
CHEST/PELVIS OP	CT	MIDRC	1
TOMOSYNTHESIS MAMMO DIGITAL DIAGNOSTIC BILATERAL	MG	ACRdart	1
TOMOSYNTHESIS MAMMO DIGITAL DIAGNOSTIC LEFT	MG	IDC	1
TOMOSYNTHESIS MAMMO DIGITAL DIAGNOSTIC RIGHT	MG	IDC	1
TOSHIBA MEC	nan	TCIA	1
PET,HEAD&NECK CA INIT'	SEG	IDC	1
PET,HEAD&NECK CA INIT	nan	TCIA	1
CHEST; 1V	CR	MIDRC	1
FDA  LCIT	nan	TCIA	1
CHESTWALL	RTSTRUCT	IDC	1
Thoracic spine	CR	MIDRC	1
PET TUMOR IMAGING WITH GA-68 DOTATATE	PT,CT	MIDRC	1
MA MAMMOGRAM DIAGNOSTIC BILATERAL W/TOMO	MG	ACRdart	1
ELBOW COMPLETE LEFT MIN 3 VIEWS	DX	MIDRC	1
TO - INITIAL  ULTRASOUND	US	ACRdart	1
ELBOW	MR	MIDRC	1
CAP IV ER	CT	MIDRC	1
MAGNETIC IMAGE,LOWER EXTREMITY	nan	TCIA	1
Thorax^01_CHEST_ROUTINE_WO (Adult)	CT	MIDRC	1
Thorax^01_CHEST_W_HR (Adult)	CT	MIDRC	1
PET THYROID CANCER (W/	PT,CT	MIDRC	1
Thorax^01_LG_CHEST_lowdose_WO_screenin (Adult)	CT	MIDRC	1
MAM BILAT DIGITAL SCREENING W/CAD	MG	ACRdart	1
EC BILATERAL DIAGNOSTIC MAMMOGRAM WITH CAD	MG	ACRdart	1
Duke University Medical Center	nan	TCIA	1
PET SARCOMA (W/LOW DOSE CT)	PT,CT	MIDRC	1
PET SARCOIDOSIS WITH N	PT,CT	MIDRC	1
Digital Screening Mammogram Bilateral TOMO NRMC	MG	ACRdart	1
Digital Screening Mammogram	MG	ACRdart	1
TO INITIAL	US	ACRdart	1
TO - INITIAL	US	ACRdart	1
THORACIC SPINE 2 VIEWS	CR	MIDRC	1
CAP W/WO OP	CT	MIDRC	1
LUMBAR SACRAL SPINE MIN 4 VIEWS	CR	MIDRC	1
THORACIC SPINE 3 VIEWS-CS	DX	MIDRC	1
CHEST, LAT DECUB LT	CR	MIDRC	1
LUMBOSACRAL SP W/OBL ROUTINE-CS	DX	MIDRC	1
LUMBOSACRAL SPINE AP/LAT ONLY-CS	CR	MIDRC	1
LUNG 4DCT	CT	IDC	1
CAP WO IP	CT	MIDRC	1
FOREARM LEFT 2 VIEWS	CR	MIDRC	1
THORAX/ZXL	CT	IDC	1
THORAX^CHEST_WO (ADULT)	CT	MIDRC	1
TIBIA AND FIBULA LEFT 2 VIEWS	DX	MIDRC	1
TIBIA AND FIBULA RIGHT 2 VIEWS	DX	MIDRC	1
TIBIA AND FIBULA RT, 4 VWS OR MORE	CR	MIDRC	1
FOOT LEFT MIN 3 VIEWS (ROUTINE)	CR	MIDRC	1
